Date,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,MA,PYPL,V,MA,PYPL,V,MA,PYPL,V,MA,PYPL,V,MA,PYPL,V
2020-01-02,292.89849853515625,110.49456787109375,182.80931091308594,293.0336418812383,110.95350602061886,182.82844531742526,289.1430043039852,109.0229713111973,180.51367863168647,290.0697983388014,109.2175212616677,180.78150191134063,3272400,7418800,8733000
2020-01-03,290.04083251953125,108.5091552734375,181.35533142089844,291.9620364262614,110.16532264865991,182.65619298990214,288.2741286555389,108.5091552734375,179.748377908474,289.1043748806253,109.23746732007817,180.2170757236118,2501300,7098300,4899700
2020-01-06,290.8132019042969,109.91590118408203,180.9631805419922,290.9097202431023,109.96578890839228,180.9823149398052,285.78334725303284,107.19220194101774,179.02145512914066,287.0770052929009,107.32189936770718,179.82492469405804,3307200,6764500,10109500
2020-01-07,289.8285217285156,109.41705322265625,180.4849395751953,292.88891389323567,111.30269348216807,181.83363013889192,289.50994632079363,109.277376730233,180.39885666992203,291.30561208883563,111.2428343030718,181.34579781846904,3182000,6898700,4392300
2020-01-08,294.9424743652344,111.56209564208984,183.57447814941406,296.73088920248796,112.38020407197834,184.12925896682447,290.50529032674734,109.56670848511325,180.5901540511915,290.76629074022094,110.14537258746796,181.25015217182232,3224400,8293600,5712000
2020-01-09,298.8092346191406,112.31037139892578,184.84661865234375,300.5879725245776,113.29808595933731,185.48748227993912,297.7651742062666,111.33262829429943,184.14836643052615,298.0165275466929,112.7294008958521,184.6074897795723,3292600,5944700,6748000
2020-01-10,300.8102722167969,112.66954040527344,185.34405517578125,301.5643026021301,113.44774020818289,186.10927067093758,298.4611514572629,112.01105896478191,184.7127512976319,301.2065961808239,113.37790195950636,185.08579184467078,2948000,6965100,6586400
2020-01-13,304.71575927734375,115.01411437988281,186.83619689941406,305.1314657822882,115.61272900393772,187.0944602022365,302.48266807123576,113.5973913268667,185.83185258423362,302.8306979937984,113.71711729639685,185.98489858555578,3236400,9652500,11290500
2020-01-14,300.2978820800781,114.37559509277344,187.52487182617188,305.88544746122415,115.32340097963679,188.38572996162426,299.5438222849256,113.85679776362468,186.65443919448578,305.653417715963,115.24857700344164,188.18486987447739,4951400,7182000,6236500
2020-01-15,303.7877197265625,114.5851058959961,191.11181640625,305.2184569189472,115.68256730929338,191.44658810314496,300.68459805757306,114.34566156861074,187.78314626401936,301.79630537185295,114.8744379469941,188.4335698547429,4664200,5955200,10831100
2020-01-16,309.6363525390625,115.13384246826172,192.21180725097656,309.66535257951244,115.73245710333313,192.73789375098855,304.5031388684549,114.58510794589738,191.09268574837094,306.9295837585119,115.65263978884413,192.2596359501176,3323300,4770900,9983700
2020-01-17,312.8844909667969,115.77236938476562,195.79872131347656,313.2421679506428,116.43084322041793,195.84655000786793,308.61163168311833,115.20368432187571,191.28396695397652,310.728723048571,116.18141981368026,192.98656338837705,4821000,9730400,12518900
2020-01-21,311.2120056152344,115.88211059570312,198.276123046875,314.81783367236454,116.12155492309624,199.32829610200127,310.7866521365868,114.84450836126906,194.9378927629454,311.6760356378206,115.04404403213033,195.2535446794833,5998600,8746200,14861700
2020-01-22,313.5128479003906,115.23361206054688,198.85960388183594,315.910292669288,117.17911155710956,200.99264435520004,313.3291711498688,115.20368247010717,198.27612873367124,314.1315547445833,116.46077855116208,198.486563350732,3518500,5305300,8065000
2020-01-23,314.16058349609375,117.61809539794922,197.53964233398438,314.42158387521016,117.66798312160931,199.33788206978858,311.5891382553427,115.53291947188191,196.37269191853323,314.1799070236535,117.12922767563165,198.85962418133394,4188300,8533900,8520800
2020-01-24,312.8941345214844,116.71019744873047,196.085693359375,316.200256646976,119.32414973687202,198.94568018998677,310.95104359583894,116.24128025181405,195.33005247517693,315.6975795201378,118.1768006062506,198.40045930516067,3634700,7124000,7812900
